Child's First Name,Summation of Counts,Ethnicity
BRITNEY,30,HISPANIC
BRITTANY,42,HISPANIC
BRODY,30,WHITE NON HISP
BROOKE,52,WHITE NON HISP
BRUCE,20,ASIAN AND PACI
BRUCE,26,HISPANIC
BRUCHY,42,WHITE NON HISP
BRYAN,36,ASIAN AND PACI
BRYAN,34,BLACK NON HISP
BRYAN,186,HISPANIC
BRYANNA,32,HISPANIC
BRYANT,26,HISPANIC
BRYCE,64,BLACK NON HISP
BRYCE,22,HISPANIC
BRYSON,20,BLACK NON HISP
Baila,184,WHITE NON HISPANIC
Barbara,20,WHITE NON HISPANIC
Baruch,62,WHITE NON HISPANIC
Basya,24,WHITE NON HISPANIC
Batsheva,124,WHITE NON HISPANIC
Beatrice,128,WHITE NON HISPANIC
Beatrix,32,WHITE NON HISPANIC
Beckett,52,WHITE NON HISPANIC
Bella,106,ASIAN AND PACIFIC ISLANDER
Bella,72,BLACK NON HISPANIC
Bella,242,HISPANIC
Bella,130,WHITE NON HISPANIC
Ben,78,WHITE NON HISPANIC
Benjamin,156,ASIAN AND PACIFIC ISLANDER
Benjamin,122,BLACK NON HISPANIC
Benjamin,260,HISPANIC
Benjamin,930,WHITE NON HISPANIC
Bennett,68,WHITE NON HISPANIC
Benson,70,ASIAN AND PACIFIC ISLANDER
Benzion,76,WHITE NON HISPANIC
Berish,20,WHITE NON HISPANIC
Berl,24,WHITE NON HISPANIC
Bianca,88,HISPANIC
Bianca,30,WHITE NON HISPANIC
Binyamin,22,WHITE NON HISPANIC
Binyomin,42,WHITE NON HISPANIC
Blake,84,BLACK NON HISPANIC
Blake,34,HISPANIC
Blake,112,WHITE NON HISPANIC
Blessing,22,BLACK NON HISPANIC
Blima,108,WHITE NON HISPANIC
Blimy,122,WHITE NON HISPANIC
Boruch,50,WHITE NON HISPANIC
Boubacar,26,BLACK NON HISPANIC
Bowen,20,ASIAN AND PACIFIC ISLANDER
Bracha,82,WHITE NON HISPANIC
Bradley,56,BLACK NON HISPANIC
Bradley,98,HISPANIC
Bradley,20,WHITE NON HISPANIC
Brady,58,WHITE NON HISPANIC
Brandon,160,ASIAN AND PACIFIC ISLANDER
Brandon,146,BLACK NON HISPANIC
Brandon,518,HISPANIC
Brandon,138,WHITE NON HISPANIC
Brayan,82,HISPANIC
Brayden,44,ASIAN AND PACIFIC ISLANDER
Brayden,54,HISPANIC
Brayden,62,WHITE NON HISPANIC
Breindy,30,WHITE NON HISPANIC
Brenda,50,HISPANIC
Brendan,20,ASIAN AND PACIFIC ISLANDER
Brendan,62,WHITE NON HISPANIC
Bria,22,BLACK NON HISPANIC
Brian,166,ASIAN AND PACIFIC ISLANDER
Brian,60,BLACK NON HISPANIC
Brian,128,HISPANIC
Brian,80,WHITE NON HISPANIC
Briana,70,HISPANIC
Brianna,96,BLACK NON HISPANIC
Brianna,370,HISPANIC
Brianna,54,WHITE NON HISPANIC
Bridget,46,WHITE NON HISPANIC
Brielle,162,BLACK NON HISPANIC
Brielle,42,HISPANIC
Brielle,52,WHITE NON HISPANIC
Brigitte,22,HISPANIC
Britney,28,HISPANIC
Brittany,126,HISPANIC
Brody,84,WHITE NON HISPANIC
Brooke,70,BLACK NON HISPANIC
Brooke,20,HISPANIC
Brooke,106,WHITE NON HISPANIC
Brooklyn,28,BLACK NON HISPANIC
Brooks,24,WHITE NON HISPANIC
Bruce,52,HISPANIC
Brucha,26,WHITE NON HISPANIC
Bruchy,56,WHITE NON HISPANIC
Bryan,78,ASIAN AND PACIFIC ISLANDER
Bryan,30,BLACK NON HISPANIC
Bryan,322,HISPANIC
Bryanna,54,HISPANIC
Bryant,50,HISPANIC
Bryce,132,BLACK NON HISPANIC
Bryce,26,HISPANIC
Bryce,22,WHITE NON HISPANIC
Brynn,20,WHITE NON HISPANIC
Bryson,60,BLACK NON HISPANIC
Byron,42,HISPANIC
CADEN,20,BLACK NON HISP
CAITLIN,20,WHITE NON HISP
CALEB,30,ASIAN AND PACI
CALEB,82,BLACK NON HISP
CALEB,86,HISPANIC
CALEB,70,WHITE NON HISP
CALVIN,20,ASIAN AND PACI
CALVIN,22,WHITE NON HISP
CAMERON,108,BLACK NON HISP
CAMERON,36,HISPANIC
CAMERON,42,WHITE NON HISP
CAMILA,322,HISPANIC
CAMILLA,24,HISPANIC
CAMILLE,20,BLACK NON HISP
CAMILO,24,HISPANIC
CAMREN,22,BLACK NON HISP
CARLOS,206,HISPANIC
CARMELO,22,BLACK NON HISP
CARMELO,20,HISPANIC
CARMEN,38,HISPANIC
CAROLINA,26,HISPANIC
CAROLINA,20,WHITE NON HISP
CAROLINE,22,ASIAN AND PACI
CAROLINE,28,HISPANIC
CAROLINE,96,WHITE NON HISP
CARSON,20,ASIAN AND PACI
CARTER,20,ASIAN AND PACI
CARTER,100,BLACK NON HISP
CARTER,28,HISPANIC
CARTER,38,WHITE NON HISP
CASSANDRA,20,WHITE NON HISP
CATALINA,50,HISPANIC
CATHERINE,52,ASIAN AND PACI
CATHERINE,30,HISPANIC
CATHERINE,66,WHITE NON HISP
CAYDEN,38,BLACK NON HISP
CECILIA,24,ASIAN AND PACI
CECILIA,56,WHITE NON HISP
CELIA,22,WHITE NON HISP
CESAR,68,HISPANIC
CHAD,22,BLACK NON HISP
CHAIM,338,WHITE NON HISP
CHANA,310,WHITE NON HISP
CHANCE,50,BLACK NON HISP
CHANIE,20,WHITE NON HISP
CHANY,88,WHITE NON HISP
CHARLES,44,ASIAN AND PACI
CHARLES,36,BLACK NON HISP
CHARLES,24,HISPANIC
CHARLES,278,WHITE NON HISP
CHARLIE,26,HISPANIC
CHARLIE,58,WHITE NON HISP
CHARLOTTE,44,ASIAN AND PACI
CHARLOTTE,24,HISPANIC
CHARLOTTE,252,WHITE NON HISP
CHASE,26,ASIAN AND PACI
CHASE,112,BLACK NON HISP
CHASE,42,HISPANIC
CHASE,66,WHITE NON HISP
CHAVA,76,WHITE NON HISP
CHAVY,28,WHITE NON HISP
CHAYA,348,WHITE NON HISP
CHELSEA,36,ASIAN AND PACI
CHELSEA,58,BLACK NON HISP
CHELSEA,90,HISPANIC
CHELSEA,28,WHITE NON HISP
CHESKEL,20,WHITE NON HISP
CHESKY,32,WHITE NON HISP
CHEYENNE,20,BLACK NON HISP
CHLOE,344,ASIAN AND PACI
CHLOE,140,BLACK NON HISP
CHLOE,114,HISPANIC
CHLOE,192,WHITE NON HISP
CHRIS,64,HISPANIC
CHRIS,28,WHITE NON HISP
CHRISTIAN,46,ASIAN AND PACI
CHRISTIAN,208,BLACK NON HISP
CHRISTIAN,278,HISPANIC
CHRISTIAN,146,WHITE NON HISP
CHRISTINA,36,ASIAN AND PACI
CHRISTINA,28,BLACK NON HISP
CHRISTINA,20,HISPANIC
CHRISTINA,30,WHITE NON HISP
CHRISTINE,28,ASIAN AND PACI
CHRISTOPHER,30,ASIAN AND PACI
CHRISTOPHER,136,BLACK NON HISP
CHRISTOPHER,390,HISPANIC
CHRISTOPHER,148,WHITE NON HISP
CINDY,30,ASIAN AND PACI
CINDY,22,HISPANIC
CLAIRE,54,ASIAN AND PACI
CLAIRE,90,WHITE NON HISP
CLARA,84,WHITE NON HISP
CODY,20,ASIAN AND PACI
COLE,40,WHITE NON HISP
COLETTE,34,WHITE NON HISP
COLIN,90,WHITE NON HISP
CONNIE,30,ASIAN AND PACI
CONNOR,34,ASIAN AND PACI
CONNOR,20,BLACK NON HISP
CONNOR,88,WHITE NON HISP
COOPER,70,WHITE NON HISP
CORA,34,WHITE NON HISP
CRISTIAN,76,HISPANIC
CRISTOPHER,30,HISPANIC
CRYSTAL,34,ASIAN AND PACI
CRYSTAL,34,HISPANIC
CYNTHIA,38,ASIAN AND PACI
CYNTHIA,24,HISPANIC
CYRUS,22,ASIAN AND PACI
Caden,20,BLACK NON HISPANIC
Caiden,72,BLACK NON HISPANIC
Cairo,24,BLACK NON HISPANIC
Caitlin,44,WHITE NON HISPANIC
Caleb,108,ASIAN AND PACIFIC ISLANDER
Caleb,224,BLACK NON HISPANIC
Caleb,174,HISPANIC
Caleb,118,WHITE NON HISPANIC
Cali,34,BLACK NON HISPANIC
Calvin,48,ASIAN AND PACIFIC ISLANDER
Calvin,20,BLACK NON HISPANIC
Calvin,28,WHITE NON HISPANIC
Camden,22,BLACK NON HISPANIC
Cameron,22,ASIAN AND PACIFIC ISLANDER
Cameron,174,BLACK NON HISPANIC
Cameron,76,HISPANIC
Cameron,102,WHITE NON HISPANIC
Camila,700,HISPANIC
Camila,20,WHITE NON HISPANIC
Camilla,20,HISPANIC
Camilla,54,WHITE NON HISPANIC
Camille,26,BLACK NON HISPANIC
Camille,46,WHITE NON HISPANIC
Camilo,22,HISPANIC
Camren,22,BLACK NON HISPANIC
Carina,58,ASIAN AND PACIFIC ISLANDER
Carla,54,HISPANIC
Carlos,338,HISPANIC
Carly,20,WHITE NON HISPANIC
Carmelo,26,BLACK NON HISPANIC
Carmelo,28,HISPANIC
Carmen,48,HISPANIC
Carolina,20,HISPANIC
Carolina,26,WHITE NON HISPANIC
Caroline,68,ASIAN AND PACIFIC ISLANDER
Caroline,54,HISPANIC
Caroline,172,WHITE NON HISPANIC
Carson,96,ASIAN AND PACIFIC ISLANDER
Carter,46,ASIAN AND PACIFIC ISLANDER
Carter,334,BLACK NON HISPANIC
Carter,72,HISPANIC
Carter,112,WHITE NON HISPANIC
Cassidy,40,WHITE NON HISPANIC
Cataleya,46,HISPANIC
Catalina,64,HISPANIC
Catherine,84,ASIAN AND PACIFIC ISLANDER
Catherine,42,HISPANIC
Catherine,172,WHITE NON HISPANIC
Cayden,104,BLACK NON HISPANIC
Cayden,26,HISPANIC
Cecelia,22,WHITE NON HISPANIC
Cecilia,44,ASIAN AND PACIFIC ISLANDER
Cecilia,20,HISPANIC
Cecilia,92,WHITE NON HISPANIC
Celeste,24,HISPANIC
Celia,20,WHITE NON HISPANIC
Celine,58,ASIAN AND PACIFIC ISLANDER
Celine,20,HISPANIC
Celine,40,WHITE NON HISPANIC
Cesar,104,HISPANIC
Chaim,560,WHITE NON HISPANIC
Chana,586,WHITE NON HISPANIC
Chance,102,BLACK NON HISPANIC
Chanel,22,BLACK NON HISPANIC
Chany,130,WHITE NON HISPANIC
Charles,90,ASIAN AND PACIFIC ISLANDER
Charles,62,BLACK NON HISPANIC
Charles,42,HISPANIC
Charles,534,WHITE NON HISPANIC
Charlie,32,HISPANIC
Charlie,120,WHITE NON HISPANIC
Charlotte,104,ASIAN AND PACIFIC ISLANDER
Charlotte,22,BLACK NON HISPANIC
Charlotte,120,HISPANIC
Charlotte,540,WHITE NON HISPANIC
Chase,22,ASIAN AND PACIFIC ISLANDER
Chase,248,BLACK NON HISPANIC
Chase,76,HISPANIC
Chase,138,WHITE NON HISPANIC
Chava,150,WHITE NON HISPANIC
Chavy,46,WHITE NON HISPANIC
Chaya,738,WHITE NON HISPANIC
Chelsea,54,ASIAN AND PACIFIC ISLANDER
Chelsea,112,BLACK NON HISPANIC
Chelsea,130,HISPANIC
Cheskel,54,WHITE NON HISPANIC
Chesky,26,WHITE NON HISPANIC
Chiara,20,WHITE NON HISPANIC
Chloe,466,ASIAN AND PACIFIC ISLANDER
Chloe,272,BLACK NON HISPANIC
Chloe,244,HISPANIC
Chloe,352,WHITE NON HISPANIC
Chris,50,ASIAN AND PACIFIC ISLANDER
Chris,24,BLACK NON HISPANIC
Chris,74,HISPANIC
Christian,66,ASIAN AND PACIFIC ISLANDER
Christian,310,BLACK NON HISPANIC
Christian,392,HISPANIC
Christian,228,WHITE NON HISPANIC
Christina,62,ASIAN AND PACIFIC ISLANDER
Christina,60,BLACK NON HISPANIC
Christina,20,HISPANIC
Christina,42,WHITE NON HISPANIC
Christine,30,ASIAN AND PACIFIC ISLANDER
Christopher,94,ASIAN AND PACIFIC ISLANDER
Christopher,220,BLACK NON HISPANIC
Christopher,654,HISPANIC
Christopher,326,WHITE NON HISPANIC
Cindy,88,ASIAN AND PACIFIC ISLANDER
Claire,164,ASIAN AND PACIFIC ISLANDER
Claire,152,WHITE NON HISPANIC
Clara,132,WHITE NON HISPANIC
Claudia,32,WHITE NON HISPANIC
Clementine,42,WHITE NON HISPANIC
Cole,106,WHITE NON HISPANIC
Colette,62,WHITE NON HISPANIC
Colin,52,ASIAN AND PACIFIC ISLANDER
Colin,146,WHITE NON HISPANIC
Colton,28,WHITE NON HISPANIC
Connie,20,ASIAN AND PACIFIC ISLANDER
Connor,88,ASIAN AND PACIFIC ISLANDER
Connor,34,BLACK NON HISPANIC
Connor,188,WHITE NON HISPANIC
Conor,72,WHITE NON HISPANIC
Cooper,130,WHITE NON HISPANIC
Cora,82,WHITE NON HISPANIC
Corey,24,BLACK NON HISPANIC
Cormac,22,WHITE NON HISPANIC
Cristian,160,HISPANIC
Cristopher,22,HISPANIC
Crystal,64,ASIAN AND PACIFIC ISLANDER
Crystal,74,HISPANIC
Cynthia,80,ASIAN AND PACIFIC ISLANDER
Cynthia,20,HISPANIC
DAHLIA,30,WHITE NON HISP
DAISY,50,HISPANIC
DAISY,22,WHITE NON HISP
DALIA,22,WHITE NON HISP
DAMANI,20,BLACK NON HISP
DAMIAN,88,HISPANIC
DAMIAN,30,WHITE NON HISP
DAMIEN,22,HISPANIC
DANA,28,HISPANIC
DANIEL,196,ASIAN AND PACI
DANIEL,134,BLACK NON HISP
DANIEL,456,HISPANIC
DANIEL,464,WHITE NON HISP
DANIELA,120,HISPANIC
DANIELA,20,WHITE NON HISP
DANIELLA,42,HISPANIC
DANIELLA,68,WHITE NON HISP
DANIELLE,20,BLACK NON HISP
DANIELLE,26,WHITE NON HISP
DANNA,64,HISPANIC
DANNY,26,ASIAN AND PACI
DANNY,42,HISPANIC
DANTE,32,HISPANIC
DAPHNE,22,ASIAN AND PACI
DAPHNE,32,WHITE NON HISP
DARIEL,58,HISPANIC
DARIUS,28,BLACK NON HISP
DARREN,52,ASIAN AND PACI
DARREN,26,BLACK NON HISP
DARWIN,42,HISPANIC
DAVID,80,ASIAN AND PACI
DAVID,134,BLACK NON HISP
DAVID,352,HISPANIC
DAVID,578,WHITE NON HISP
DAYANA,58,HISPANIC
DEAN,20,HISPANIC
DEAN,50,WHITE NON HISP
DEBORAH,20,BLACK NON HISP
DECLAN,76,WHITE NON HISP
DELILAH,50,HISPANIC
DENISE,20,HISPANIC
DENZEL,28,HISPANIC
DEREK,70,ASIAN AND PACI
DEREK,100,HISPANIC
DERRICK,22,BLACK NON HISP
DESTINY,76,BLACK NON HISP
DESTINY,80,HISPANIC
DEVIN,32,ASIAN AND PACI
DEVIN,36,BLACK NON HISP
DEVIN,44,HISPANIC
DEVIN,20,WHITE NON HISP
DEVORA,32,WHITE NON HISP
DEVORAH,74,WHITE NON HISP
DIANA,84,HISPANIC
DIANA,40,WHITE NON HISP
DIEGO,120,HISPANIC
DINA,88,WHITE NON HISP
DIYA,22,ASIAN AND PACI
DOMINIC,36,BLACK NON HISP
DOMINIC,56,HISPANIC
DOMINIC,56,WHITE NON HISP
DOMINICK,22,HISPANIC
DOMINICK,40,WHITE NON HISP
DONOVAN,24,HISPANIC
DORIS,26,ASIAN AND PACI
DOV,64,WHITE NON HISP
DOVID,52,WHITE NON HISP
DREW,30,WHITE NON HISP
DULCE,20,HISPANIC
DYLAN,154,ASIAN AND PACI
DYLAN,116,BLACK NON HISP
DYLAN,368,HISPANIC
DYLAN,294,WHITE NON HISP
Dahlia,52,WHITE NON HISPANIC
Daisy,84,HISPANIC
Daisy,20,WHITE NON HISPANIC
Dakota,52,BLACK NON HISPANIC
Daleyza,28,HISPANIC
Damian,192,HISPANIC
Damian,52,WHITE NON HISPANIC
Damien,56,HISPANIC
Damon,54,ASIAN AND PACIFIC ISLANDER
Daniel,390,ASIAN AND PACIFIC ISLANDER
Daniel,230,BLACK NON HISPANIC
Daniel,860,HISPANIC
Daniel,912,WHITE NON HISPANIC
Daniela,204,HISPANIC
Daniella,104,HISPANIC
Daniella,122,WHITE NON HISPANIC
Danielle,50,BLACK NON HISPANIC
Danielle,90,WHITE NON HISPANIC
Danna,134,HISPANIC
Danny,30,ASIAN AND PACIFIC ISLANDER
Danny,72,HISPANIC
Dante,58,HISPANIC
Dante,50,WHITE NON HISPANIC
Daphne,28,ASIAN AND PACIFIC ISLANDER
Daphne,66,WHITE NON HISPANIC
Dariel,114,HISPANIC
Darius,24,BLACK NON HISPANIC
Darren,84,ASIAN AND PACIFIC ISLANDER
Darren,20,BLACK NON HISPANIC
Darwin,64,HISPANIC
Dashiell,20,WHITE NON HISPANIC
David,144,ASIAN AND PACIFIC ISLANDER
David,194,BLACK NON HISPANIC
David,706,HISPANIC
David,1152,WHITE NON HISPANIC
Dayana,58,HISPANIC
Dean,48,HISPANIC
Dean,84,WHITE NON HISPANIC
Declan,166,WHITE NON HISPANIC
Delilah,170,HISPANIC
Delilah,20,WHITE NON HISPANIC
Denis,20,WHITE NON HISPANIC
Dennis,20,HISPANIC
Dennis,24,WHITE NON HISPANIC
Denzel,28,HISPANIC
Dereck,22,HISPANIC
Derek,112,ASIAN AND PACIFIC ISLANDER
Derek,202,HISPANIC
Derek,28,WHITE NON HISPANIC
Derick,20,HISPANIC
Derrick,20,BLACK NON HISPANIC
Desmond,38,WHITE NON HISPANIC
Destiny,112,BLACK NON HISPANIC
Destiny,90,HISPANIC
Devin,64,ASIAN AND PACIFIC ISLANDER
Devin,44,BLACK NON HISPANIC
Devin,72,HISPANIC
Devin,48,WHITE NON HISPANIC
Devora,88,WHITE NON HISPANIC
Devorah,200,WHITE NON HISPANIC
Diana,128,HISPANIC
Diana,88,WHITE NON HISPANIC
Diego,226,HISPANIC
Dilan,30,HISPANIC
Dina,128,WHITE NON HISPANIC
Dominic,64,BLACK NON HISPANIC
Dominic,134,HISPANIC
Dominic,124,WHITE NON HISPANIC
Dominick,20,BLACK NON HISPANIC
Dominick,66,HISPANIC
Dominick,56,WHITE NON HISPANIC
Donovan,20,BLACK NON HISPANIC
Donovan,20,HISPANIC
Doris,20,ASIAN AND PACIFIC ISLANDER
Dov,130,WHITE NON HISPANIC
Dovid,120,WHITE NON HISPANIC
Drew,24,WHITE NON HISPANIC
Dulce,32,HISPANIC
Duvid,52,WHITE NON HISPANIC
Dylan,190,ASIAN AND PACIFIC ISLANDER
Dylan,198,BLACK NON HISPANIC
Dylan,1124,HISPANIC
Dylan,550,WHITE NON HISPANIC
EASON,60,ASIAN AND PACI
EDDY,24,HISPANIC
EDEN,52,WHITE NON HISP
EDGAR,56,HISPANIC
EDISON,32,ASIAN AND PACI
EDUARDO,80,HISPANIC
EDWARD,20,ASIAN AND PACI
EDWARD,92,HISPANIC
EDWARD,70,WHITE NON HISP
EDWIN,106,HISPANIC
EFRAIM,38,WHITE NON HISP
EILEEN,30,ASIAN AND PACI
EILEEN,22,HISPANIC
EITAN,42,WHITE NON HISP
ELAINE,42,ASIAN AND PACI
ELAN,24,WHITE NON HISP
ELEANOR,30,ASIAN AND PACI
ELEANOR,90,WHITE NON HISP
ELENA,22,ASIAN AND PACI
ELENA,56,HISPANIC
ELENA,40,WHITE NON HISP
ELI,24,ASIAN AND PACI
ELI,68,BLACK NON HISP
ELI,96,HISPANIC
ELI,198,WHITE NON HISP
ELIAN,44,HISPANIC
ELIANA,68,HISPANIC
ELIANA,86,WHITE NON HISP
ELIANNY,20,HISPANIC
ELIAS,20,BLACK NON HISP
ELIAS,148,HISPANIC
ELIAS,68,WHITE NON HISP
ELIEZER,58,WHITE NON HISP
ELIJAH,38,ASIAN AND PACI
ELIJAH,230,BLACK NON HISP
ELIJAH,196,HISPANIC
ELIJAH,58,WHITE NON HISP
ELIMELECH,36,WHITE NON HISP
ELINA,28,ASIAN AND PACI
ELISA,22,HISPANIC
ELISE,20,BLACK NON HISP
ELISE,28,WHITE NON HISP
ELISHEVA,34,WHITE NON HISP
ELIYAHU,58,WHITE NON HISP
ELIZA,36,WHITE NON HISP
ELIZABETH,62,ASIAN AND PACI
ELIZABETH,62,BLACK NON HISP
ELIZABETH,138,HISPANIC
ELIZABETH,232,WHITE NON HISP
ELLA,104,ASIAN AND PACI
ELLA,38,HISPANIC
ELLA,296,WHITE NON HISP
ELLE,40,WHITE NON HISP
ELLIANA,22,WHITE NON HISP
ELLIE,34,ASIAN AND PACI
ELLIE,46,WHITE NON HISP
ELLIOT,58,WHITE NON HISP
ELLIOTT,20,WHITE NON HISP
ELLIS,22,WHITE NON HISP
ELOISE,62,WHITE NON HISP
ELSA,28,WHITE NON HISP
ELUZER,22,WHITE NON HISP
ELVIN,20,HISPANIC
ELVIS,20,ASIAN AND PACI
EMANUEL,62,HISPANIC
EMELY,142,HISPANIC
EMERSON,22,WHITE NON HISP
EMILIA,36,HISPANIC
EMILIA,88,WHITE NON HISP
EMILIANO,20,HISPANIC
EMILIO,50,HISPANIC
EMILY,220,ASIAN AND PACI
EMILY,70,BLACK NON HISP
EMILY,372,HISPANIC
EMILY,274,WHITE NON HISP
EMMA,194,ASIAN AND PACI
EMMA,54,BLACK NON HISP
EMMA,250,HISPANIC
EMMA,456,WHITE NON HISP
EMMANUEL,66,BLACK NON HISP
EMMANUEL,166,HISPANIC
EMMETT,26,WHITE NON HISP
ENRIQUE,22,HISPANIC
EPHRAIM,30,WHITE NON HISP
ERIC,246,ASIAN AND PACI
ERIC,44,BLACK NON HISP
ERIC,68,HISPANIC
ERIC,70,WHITE NON HISP
ERICA,46,ASIAN AND PACI
ERICK,152,HISPANIC
ERIK,44,HISPANIC
ERIK,20,WHITE NON HISP
ERIKA,22,HISPANIC
ERIN,32,ASIAN AND PACI
ERIN,22,BLACK NON HISP
ESME,32,WHITE NON HISP
ESMERALDA,48,HISPANIC
ESTEBAN,34,HISPANIC
ESTELLE,22,WHITE NON HISP
ESTER,22,WHITE NON HISP
ESTHER,32,ASIAN AND PACI
ESTHER,26,HISPANIC
ESTHER,384,WHITE NON HISP
ESTY,24,WHITE NON HISP
ETHAN,374,ASIAN AND PACI
ETHAN,302,BLACK NON HISP
ETHAN,508,HISPANIC
ETHAN,262,WHITE NON HISP
ETTY,38,WHITE NON HISP
EVA,56,ASIAN AND PACI
EVA,84,HISPANIC
EVA,128,WHITE NON HISP
EVAN,166,ASIAN AND PACI
EVAN,42,BLACK NON HISP
EVAN,118,HISPANIC
EVAN,136,WHITE NON HISP
EVANGELINE,20,HISPANIC
EVANGELINE,30,WHITE NON HISP
EVE,26,WHITE NON HISP
EVELYN,74,ASIAN AND PACI
EVELYN,94,HISPANIC
EVELYN,104,WHITE NON HISP
EVERETT,30,WHITE NON HISP
EZEKIEL,20,HISPANIC
EZEQUIEL,36,HISPANIC
EZRA,106,WHITE NON HISP
EZRIEL,20,WHITE NON HISP
Eason,140,ASIAN AND PACIFIC ISLANDER
Eddie,24,ASIAN AND PACIFIC ISLANDER
Eddy,20,HISPANIC
Eden,54,ASIAN AND PACIFIC ISLANDER
Eden,30,BLACK NON HISPANIC
Eden,58,WHITE NON HISPANIC
Edgar,90,HISPANIC
Edison,28,ASIAN AND PACIFIC ISLANDER
Edison,30,HISPANIC
Edith,24,WHITE NON HISPANIC
Eduardo,82,HISPANIC
Edward,54,ASIAN AND PACIFIC ISLANDER
Edward,172,HISPANIC
Edward,146,WHITE NON HISPANIC
Edwin,48,ASIAN AND PACIFIC ISLANDER
Edwin,154,HISPANIC
Efraim,62,WHITE NON HISPANIC
Egypt,48,BLACK NON HISPANIC
Eileen,72,ASIAN AND PACIFIC ISLANDER
Eileen,42,HISPANIC
Eitan,58,WHITE NON HISPANIC
Elaine,68,ASIAN AND PACIFIC ISLANDER
Elan,24,WHITE NON HISPANIC
Eleanor,24,ASIAN AND PACIFIC ISLANDER
Eleanor,222,WHITE NON HISPANIC
Elena,64,ASIAN AND PACIFIC ISLANDER
Elena,108,HISPANIC
Elena,112,WHITE NON HISPANIC
Eleni,20,WHITE NON HISPANIC
Eli,42,ASIAN AND PACIFIC ISLANDER
Eli,92,BLACK NON HISPANIC
Eli,170,HISPANIC
Eli,372,WHITE NON HISPANIC
Eliam,20,HISPANIC
Elian,80,HISPANIC
Eliana,22,ASIAN AND PACIFIC ISLANDER
Eliana,46,BLACK NON HISPANIC
Eliana,162,HISPANIC
Eliana,212,WHITE NON HISPANIC
Elias,30,BLACK NON HISPANIC
Elias,322,HISPANIC
Elias,110,WHITE NON HISPANIC
Eliezer,186,WHITE NON HISPANIC
Elijah,56,ASIAN AND PACIFIC ISLANDER
Elijah,498,BLACK NON HISPANIC
Elijah,448,HISPANIC
Elijah,126,WHITE NON HISPANIC
Elimelech,68,WHITE NON HISPANIC
Elina,56,ASIAN AND PACIFIC ISLANDER
Elisa,50,HISPANIC
Elise,22,ASIAN AND PACIFIC ISLANDER
Elise,26,WHITE NON HISPANIC
Elisheva,58,WHITE NON HISPANIC
Eliyahu,104,WHITE NON HISPANIC
Eliza,42,HISPANIC
Eliza,106,WHITE NON HISPANIC
Elizabeth,88,ASIAN AND PACIFIC ISLANDER
Elizabeth,96,BLACK NON HISPANIC
Elizabeth,202,HISPANIC
Elizabeth,384,WHITE NON HISPANIC
Ella,142,ASIAN AND PACIFIC ISLANDER
Ella,22,BLACK NON HISPANIC
Ella,66,HISPANIC
Ella,478,WHITE NON HISPANIC
Elle,48,WHITE NON HISPANIC
Ellie,88,ASIAN AND PACIFIC ISLANDER
Ellie,102,WHITE NON HISPANIC
Elliot,124,WHITE NON HISPANIC
Elliott,48,WHITE NON HISPANIC
Ellis,24,WHITE NON HISPANIC
Eloise,140,WHITE NON HISPANIC
Elsa,46,ASIAN AND PACIFIC ISLANDER
Elsa,48,WHITE NON HISPANIC
Elvis,48,ASIAN AND PACIFIC ISLANDER
Emaan,20,ASIAN AND PACIFIC ISLANDER
Emani,24,BLACK NON HISPANIC
Emanuel,88,HISPANIC
Emely,214,HISPANIC
Emerson,64,WHITE NON HISPANIC
Emilia,68,HISPANIC
Emilia,184,WHITE NON HISPANIC
Emiliano,22,HISPANIC
Emilio,88,HISPANIC
Emily,368,ASIAN AND PACIFIC ISLANDER
Emily,140,BLACK NON HISPANIC
Emily,708,HISPANIC
Emily,516,WHITE NON HISPANIC
Emma,350,ASIAN AND PACIFIC ISLANDER
Emma,96,BLACK NON HISPANIC
Emma,698,HISPANIC
Emma,866,WHITE NON HISPANIC
Emmanuel,20,ASIAN AND PACIFIC ISLANDER
Emmanuel,158,BLACK NON HISPANIC
Emmanuel,234,HISPANIC
Emmanuel,24,WHITE NON HISPANIC
Emmeline,44,WHITE NON HISPANIC
Emmett,56,WHITE NON HISPANIC
Enrique,36,HISPANIC
Enzo,34,HISPANIC
Eric,344,ASIAN AND PACIFIC ISLANDER
Eric,72,BLACK NON HISPANIC
Eric,132,HISPANIC
Eric,110,WHITE NON HISPANIC
Erica,24,ASIAN AND PACIFIC ISLANDER
Erick,230,HISPANIC
Erik,20,WHITE NON HISPANIC
Erika,48,HISPANIC
Erin,54,ASIAN AND PACIFIC ISLANDER
Erin,20,WHITE NON HISPANIC
Eshaal,24,ASIAN AND PACIFIC ISLANDER
Esme,28,WHITE NON HISPANIC
Esmeralda,94,HISPANIC
Esteban,26,HISPANIC
Ester,40,WHITE NON HISPANIC
Esther,24,ASIAN AND PACIFIC ISLANDER
Esther,20,BLACK NON HISPANIC
Esther,82,HISPANIC
Esther,894,WHITE NON HISPANIC
Esty,102,WHITE NON HISPANIC
Ethan,688,ASIAN AND PACIFIC ISLANDER
Ethan,568,BLACK NON HISPANIC
Ethan,1028,HISPANIC
Ethan,548,WHITE NON HISPANIC
Etty,76,WHITE NON HISPANIC
Eunice,20,ASIAN AND PACIFIC ISLANDER
Eva,112,ASIAN AND PACIFIC ISLANDER
Eva,58,BLACK NON HISPANIC
Eva,146,HISPANIC
