Child's First Name,Ethnicity,Summation of Counts
BRUCE,HISPANIC,26
BRUCHY,WHITE NON HISP,42
BRYAN,ASIAN AND PACI,36
BRYAN,BLACK NON HISP,34
BRYAN,HISPANIC,186
BRYANNA,HISPANIC,32
BRYANT,HISPANIC,26
BRYCE,BLACK NON HISP,64
BRYCE,HISPANIC,22
BRYSON,BLACK NON HISP,20
Baila,WHITE NON HISPANIC,184
Barbara,WHITE NON HISPANIC,20
Baruch,WHITE NON HISPANIC,62
Basya,WHITE NON HISPANIC,24
Batsheva,WHITE NON HISPANIC,124
Beatrice,WHITE NON HISPANIC,128
Beatrix,WHITE NON HISPANIC,32
Beckett,WHITE NON HISPANIC,52
Bella,ASIAN AND PACIFIC ISLANDER,106
Bella,BLACK NON HISPANIC,72
Bella,HISPANIC,242
Bella,WHITE NON HISPANIC,130
Ben,WHITE NON HISPANIC,78
Benjamin,ASIAN AND PACIFIC ISLANDER,156
Benjamin,BLACK NON HISPANIC,122
Benjamin,HISPANIC,260
Benjamin,WHITE NON HISPANIC,930
Bennett,WHITE NON HISPANIC,68
Benson,ASIAN AND PACIFIC ISLANDER,70
Benzion,WHITE NON HISPANIC,76
Berish,WHITE NON HISPANIC,20
Berl,WHITE NON HISPANIC,24
Bianca,HISPANIC,88
Bianca,WHITE NON HISPANIC,30
Binyamin,WHITE NON HISPANIC,22
Binyomin,WHITE NON HISPANIC,42
Blake,BLACK NON HISPANIC,84
Blake,HISPANIC,34
Blake,WHITE NON HISPANIC,112
Blessing,BLACK NON HISPANIC,22
Blima,WHITE NON HISPANIC,108
Blimy,WHITE NON HISPANIC,122
Boruch,WHITE NON HISPANIC,50
Boubacar,BLACK NON HISPANIC,26
Bowen,ASIAN AND PACIFIC ISLANDER,20
Bracha,WHITE NON HISPANIC,82
Bradley,BLACK NON HISPANIC,56
Bradley,HISPANIC,98
Bradley,WHITE NON HISPANIC,20
Brady,WHITE NON HISPANIC,58
Brandon,ASIAN AND PACIFIC ISLANDER,160
Brandon,BLACK NON HISPANIC,146
Brandon,HISPANIC,518
Brandon,WHITE NON HISPANIC,138
Brayan,HISPANIC,82
Brayden,ASIAN AND PACIFIC ISLANDER,44
Brayden,HISPANIC,54
Brayden,WHITE NON HISPANIC,62
Breindy,WHITE NON HISPANIC,30
Brenda,HISPANIC,50
Brendan,ASIAN AND PACIFIC ISLANDER,20
Brendan,WHITE NON HISPANIC,62
Bria,BLACK NON HISPANIC,22
Brian,ASIAN AND PACIFIC ISLANDER,166
Brian,BLACK NON HISPANIC,60
Brian,HISPANIC,128
Brian,WHITE NON HISPANIC,80
Briana,HISPANIC,70
Brianna,BLACK NON HISPANIC,96
Brianna,HISPANIC,370
Brianna,WHITE NON HISPANIC,54
Bridget,WHITE NON HISPANIC,46
Brielle,BLACK NON HISPANIC,162
Brielle,HISPANIC,42
Brielle,WHITE NON HISPANIC,52
Brigitte,HISPANIC,22
Britney,HISPANIC,28
Brittany,HISPANIC,126
Brody,WHITE NON HISPANIC,84
Brooke,BLACK NON HISPANIC,70
Brooke,HISPANIC,20
Brooke,WHITE NON HISPANIC,106
Brooklyn,BLACK NON HISPANIC,28
Brooks,WHITE NON HISPANIC,24
Bruce,HISPANIC,52
Brucha,WHITE NON HISPANIC,26
Bruchy,WHITE NON HISPANIC,56
Bryan,ASIAN AND PACIFIC ISLANDER,78
Bryan,BLACK NON HISPANIC,30
Bryan,HISPANIC,322
Bryanna,HISPANIC,54
Bryant,HISPANIC,50
Bryce,BLACK NON HISPANIC,132
Bryce,HISPANIC,26
Bryce,WHITE NON HISPANIC,22
Brynn,WHITE NON HISPANIC,20
Bryson,BLACK NON HISPANIC,60
Byron,HISPANIC,42
CADEN,BLACK NON HISP,20
CAITLIN,WHITE NON HISP,20
CALEB,ASIAN AND PACI,30
CALEB,BLACK NON HISP,82
CALEB,HISPANIC,86
CALEB,WHITE NON HISP,70
CALVIN,ASIAN AND PACI,20
CALVIN,WHITE NON HISP,22
CAMERON,BLACK NON HISP,108
CAMERON,HISPANIC,36
CAMERON,WHITE NON HISP,42
CAMILA,HISPANIC,322
CAMILLA,HISPANIC,24
CAMILLE,BLACK NON HISP,20
CAMILO,HISPANIC,24
CAMREN,BLACK NON HISP,22
CARLOS,HISPANIC,206
CARMELO,BLACK NON HISP,22
CARMELO,HISPANIC,20
CARMEN,HISPANIC,38
CAROLINA,HISPANIC,26
CAROLINA,WHITE NON HISP,20
CAROLINE,ASIAN AND PACI,22
CAROLINE,HISPANIC,28
CAROLINE,WHITE NON HISP,96
CARSON,ASIAN AND PACI,20
CARTER,ASIAN AND PACI,20
CARTER,BLACK NON HISP,100
CARTER,HISPANIC,28
CARTER,WHITE NON HISP,38
CASSANDRA,WHITE NON HISP,20
CATALINA,HISPANIC,50
CATHERINE,ASIAN AND PACI,52
CATHERINE,HISPANIC,30
CATHERINE,WHITE NON HISP,66
CAYDEN,BLACK NON HISP,38
CECILIA,ASIAN AND PACI,24
CECILIA,WHITE NON HISP,56
CELIA,WHITE NON HISP,22
CESAR,HISPANIC,68
CHAD,BLACK NON HISP,22
CHAIM,WHITE NON HISP,338
CHANA,WHITE NON HISP,310
CHANCE,BLACK NON HISP,50
CHANIE,WHITE NON HISP,20
CHANY,WHITE NON HISP,88
CHARLES,ASIAN AND PACI,44
CHARLES,BLACK NON HISP,36
CHARLES,HISPANIC,24
CHARLES,WHITE NON HISP,278
CHARLIE,HISPANIC,26
CHARLIE,WHITE NON HISP,58
CHARLOTTE,ASIAN AND PACI,44
CHARLOTTE,HISPANIC,24
CHARLOTTE,WHITE NON HISP,252
CHASE,ASIAN AND PACI,26
CHASE,BLACK NON HISP,112
CHASE,HISPANIC,42
CHASE,WHITE NON HISP,66
CHAVA,WHITE NON HISP,76
CHAVY,WHITE NON HISP,28
CHAYA,WHITE NON HISP,348
CHELSEA,ASIAN AND PACI,36
CHELSEA,BLACK NON HISP,58
CHELSEA,HISPANIC,90
CHELSEA,WHITE NON HISP,28
CHESKEL,WHITE NON HISP,20
CHESKY,WHITE NON HISP,32
CHEYENNE,BLACK NON HISP,20
CHLOE,ASIAN AND PACI,344
CHLOE,BLACK NON HISP,140
CHLOE,HISPANIC,114
CHLOE,WHITE NON HISP,192
CHRIS,HISPANIC,64
CHRIS,WHITE NON HISP,28
CHRISTIAN,ASIAN AND PACI,46
CHRISTIAN,BLACK NON HISP,208
CHRISTIAN,HISPANIC,278
CHRISTIAN,WHITE NON HISP,146
CHRISTINA,ASIAN AND PACI,36
CHRISTINA,BLACK NON HISP,28
CHRISTINA,HISPANIC,20
CHRISTINA,WHITE NON HISP,30
CHRISTINE,ASIAN AND PACI,28
CHRISTOPHER,ASIAN AND PACI,30
CHRISTOPHER,BLACK NON HISP,136
CHRISTOPHER,HISPANIC,390
CHRISTOPHER,WHITE NON HISP,148
CINDY,ASIAN AND PACI,30
CINDY,HISPANIC,22
CLAIRE,ASIAN AND PACI,54
CLAIRE,WHITE NON HISP,90
CLARA,WHITE NON HISP,84
CODY,ASIAN AND PACI,20
COLE,WHITE NON HISP,40
COLETTE,WHITE NON HISP,34
COLIN,WHITE NON HISP,90
CONNIE,ASIAN AND PACI,30
CONNOR,ASIAN AND PACI,34
CONNOR,BLACK NON HISP,20
CONNOR,WHITE NON HISP,88
COOPER,WHITE NON HISP,70
CORA,WHITE NON HISP,34
CRISTIAN,HISPANIC,76
CRISTOPHER,HISPANIC,30
CRYSTAL,ASIAN AND PACI,34
CRYSTAL,HISPANIC,34
CYNTHIA,ASIAN AND PACI,38
CYNTHIA,HISPANIC,24
CYRUS,ASIAN AND PACI,22
Caden,BLACK NON HISPANIC,20
Caiden,BLACK NON HISPANIC,72
Cairo,BLACK NON HISPANIC,24
Caitlin,WHITE NON HISPANIC,44
Caleb,ASIAN AND PACIFIC ISLANDER,108
Caleb,BLACK NON HISPANIC,224
Caleb,HISPANIC,174
Caleb,WHITE NON HISPANIC,118
Cali,BLACK NON HISPANIC,34
Calvin,ASIAN AND PACIFIC ISLANDER,48
Calvin,BLACK NON HISPANIC,20
Calvin,WHITE NON HISPANIC,28
Camden,BLACK NON HISPANIC,22
Cameron,ASIAN AND PACIFIC ISLANDER,22
Cameron,BLACK NON HISPANIC,174
Cameron,HISPANIC,76
Cameron,WHITE NON HISPANIC,102
Camila,HISPANIC,700
Camila,WHITE NON HISPANIC,20
Camilla,HISPANIC,20
Camilla,WHITE NON HISPANIC,54
Camille,BLACK NON HISPANIC,26
Camille,WHITE NON HISPANIC,46
Camilo,HISPANIC,22
Camren,BLACK NON HISPANIC,22
Carina,ASIAN AND PACIFIC ISLANDER,58
Carla,HISPANIC,54
Carlos,HISPANIC,338
Carly,WHITE NON HISPANIC,20
Carmelo,BLACK NON HISPANIC,26
Carmelo,HISPANIC,28
Carmen,HISPANIC,48
Carolina,HISPANIC,20
Carolina,WHITE NON HISPANIC,26
Caroline,ASIAN AND PACIFIC ISLANDER,68
Caroline,HISPANIC,54
Caroline,WHITE NON HISPANIC,172
Carson,ASIAN AND PACIFIC ISLANDER,96
Carter,ASIAN AND PACIFIC ISLANDER,46
Carter,BLACK NON HISPANIC,334
Carter,HISPANIC,72
Carter,WHITE NON HISPANIC,112
Cassidy,WHITE NON HISPANIC,40
Cataleya,HISPANIC,46
Catalina,HISPANIC,64
Catherine,ASIAN AND PACIFIC ISLANDER,84
Catherine,HISPANIC,42
Catherine,WHITE NON HISPANIC,172
Cayden,BLACK NON HISPANIC,104
Cayden,HISPANIC,26
Cecelia,WHITE NON HISPANIC,22
Cecilia,ASIAN AND PACIFIC ISLANDER,44
Cecilia,HISPANIC,20
Cecilia,WHITE NON HISPANIC,92
Celeste,HISPANIC,24
Celia,WHITE NON HISPANIC,20
Celine,ASIAN AND PACIFIC ISLANDER,58
Celine,HISPANIC,20
Celine,WHITE NON HISPANIC,40
Cesar,HISPANIC,104
Chaim,WHITE NON HISPANIC,560
Chana,WHITE NON HISPANIC,586
Chance,BLACK NON HISPANIC,102
Chanel,BLACK NON HISPANIC,22
Chany,WHITE NON HISPANIC,130
Charles,ASIAN AND PACIFIC ISLANDER,90
Charles,BLACK NON HISPANIC,62
Charles,HISPANIC,42
Charles,WHITE NON HISPANIC,534
Charlie,HISPANIC,32
Charlie,WHITE NON HISPANIC,120
Charlotte,ASIAN AND PACIFIC ISLANDER,104
Charlotte,BLACK NON HISPANIC,22
Charlotte,HISPANIC,120
Charlotte,WHITE NON HISPANIC,540
Chase,ASIAN AND PACIFIC ISLANDER,22
Chase,BLACK NON HISPANIC,248
Chase,HISPANIC,76
Chase,WHITE NON HISPANIC,138
Chava,WHITE NON HISPANIC,150
Chavy,WHITE NON HISPANIC,46
Chaya,WHITE NON HISPANIC,738
Chelsea,ASIAN AND PACIFIC ISLANDER,54
Chelsea,BLACK NON HISPANIC,112
Chelsea,HISPANIC,130
Cheskel,WHITE NON HISPANIC,54
Chesky,WHITE NON HISPANIC,26
Chiara,WHITE NON HISPANIC,20
Chloe,ASIAN AND PACIFIC ISLANDER,466
Chloe,BLACK NON HISPANIC,272
Chloe,HISPANIC,244
Chloe,WHITE NON HISPANIC,352
Chris,ASIAN AND PACIFIC ISLANDER,50
Chris,BLACK NON HISPANIC,24
Chris,HISPANIC,74
Christian,ASIAN AND PACIFIC ISLANDER,66
Christian,BLACK NON HISPANIC,310
Christian,HISPANIC,392
Christian,WHITE NON HISPANIC,228
Christina,ASIAN AND PACIFIC ISLANDER,62
Christina,BLACK NON HISPANIC,60
Christina,HISPANIC,20
Christina,WHITE NON HISPANIC,42
Christine,ASIAN AND PACIFIC ISLANDER,30
Christopher,ASIAN AND PACIFIC ISLANDER,94
Christopher,BLACK NON HISPANIC,220
Christopher,HISPANIC,654
Christopher,WHITE NON HISPANIC,326
Cindy,ASIAN AND PACIFIC ISLANDER,88
Claire,ASIAN AND PACIFIC ISLANDER,164
Claire,WHITE NON HISPANIC,152
Clara,WHITE NON HISPANIC,132
Claudia,WHITE NON HISPANIC,32
Clementine,WHITE NON HISPANIC,42
Cole,WHITE NON HISPANIC,106
Colette,WHITE NON HISPANIC,62
Colin,ASIAN AND PACIFIC ISLANDER,52
Colin,WHITE NON HISPANIC,146
Colton,WHITE NON HISPANIC,28
Connie,ASIAN AND PACIFIC ISLANDER,20
Connor,ASIAN AND PACIFIC ISLANDER,88
Connor,BLACK NON HISPANIC,34
Connor,WHITE NON HISPANIC,188
Conor,WHITE NON HISPANIC,72
Cooper,WHITE NON HISPANIC,130
Cora,WHITE NON HISPANIC,82
Corey,BLACK NON HISPANIC,24
Cormac,WHITE NON HISPANIC,22
Cristian,HISPANIC,160
Cristopher,HISPANIC,22
Crystal,ASIAN AND PACIFIC ISLANDER,64
Crystal,HISPANIC,74
Cynthia,ASIAN AND PACIFIC ISLANDER,80
Cynthia,HISPANIC,20
DAHLIA,WHITE NON HISP,30
DAISY,HISPANIC,50
DAISY,WHITE NON HISP,22
DALIA,WHITE NON HISP,22
DAMANI,BLACK NON HISP,20
DAMIAN,HISPANIC,88
DAMIAN,WHITE NON HISP,30
DAMIEN,HISPANIC,22
DANA,HISPANIC,28
DANIEL,ASIAN AND PACI,196
DANIEL,BLACK NON HISP,134
DANIEL,HISPANIC,456
DANIEL,WHITE NON HISP,464
DANIELA,HISPANIC,120
DANIELA,WHITE NON HISP,20
DANIELLA,HISPANIC,42
DANIELLA,WHITE NON HISP,68
DANIELLE,BLACK NON HISP,20
DANIELLE,WHITE NON HISP,26
DANNA,HISPANIC,64
DANNY,ASIAN AND PACI,26
DANNY,HISPANIC,42
DANTE,HISPANIC,32
DAPHNE,ASIAN AND PACI,22
DAPHNE,WHITE NON HISP,32
DARIEL,HISPANIC,58
DARIUS,BLACK NON HISP,28
DARREN,ASIAN AND PACI,52
DARREN,BLACK NON HISP,26
DARWIN,HISPANIC,42
DAVID,ASIAN AND PACI,80
DAVID,BLACK NON HISP,134
DAVID,HISPANIC,352
DAVID,WHITE NON HISP,578
DAYANA,HISPANIC,58
DEAN,HISPANIC,20
DEAN,WHITE NON HISP,50
DEBORAH,BLACK NON HISP,20
DECLAN,WHITE NON HISP,76
DELILAH,HISPANIC,50
DENISE,HISPANIC,20
DENZEL,HISPANIC,28
DEREK,ASIAN AND PACI,70
DEREK,HISPANIC,100
DERRICK,BLACK NON HISP,22
DESTINY,BLACK NON HISP,76
DESTINY,HISPANIC,80
DEVIN,ASIAN AND PACI,32
DEVIN,BLACK NON HISP,36
DEVIN,HISPANIC,44
DEVIN,WHITE NON HISP,20
DEVORA,WHITE NON HISP,32
DEVORAH,WHITE NON HISP,74
DIANA,HISPANIC,84
DIANA,WHITE NON HISP,40
DIEGO,HISPANIC,120
DINA,WHITE NON HISP,88
DIYA,ASIAN AND PACI,22
DOMINIC,BLACK NON HISP,36
DOMINIC,HISPANIC,56
DOMINIC,WHITE NON HISP,56
DOMINICK,HISPANIC,22
DOMINICK,WHITE NON HISP,40
DONOVAN,HISPANIC,24
DORIS,ASIAN AND PACI,26
DOV,WHITE NON HISP,64
DOVID,WHITE NON HISP,52
DREW,WHITE NON HISP,30
DULCE,HISPANIC,20
DYLAN,ASIAN AND PACI,154
DYLAN,BLACK NON HISP,116
DYLAN,HISPANIC,368
DYLAN,WHITE NON HISP,294
Dahlia,WHITE NON HISPANIC,52
Daisy,HISPANIC,84
Daisy,WHITE NON HISPANIC,20
Dakota,BLACK NON HISPANIC,52
Daleyza,HISPANIC,28
Damian,HISPANIC,192
Damian,WHITE NON HISPANIC,52
Damien,HISPANIC,56
Damon,ASIAN AND PACIFIC ISLANDER,54
Daniel,ASIAN AND PACIFIC ISLANDER,390
Daniel,BLACK NON HISPANIC,230
Daniel,HISPANIC,860
Daniel,WHITE NON HISPANIC,912
Daniela,HISPANIC,204
Daniella,HISPANIC,104
Daniella,WHITE NON HISPANIC,122
Danielle,BLACK NON HISPANIC,50
Danielle,WHITE NON HISPANIC,90
Danna,HISPANIC,134
Danny,ASIAN AND PACIFIC ISLANDER,30
Danny,HISPANIC,72
Dante,HISPANIC,58
Dante,WHITE NON HISPANIC,50
Daphne,ASIAN AND PACIFIC ISLANDER,28
Daphne,WHITE NON HISPANIC,66
Dariel,HISPANIC,114
Darius,BLACK NON HISPANIC,24
Darren,ASIAN AND PACIFIC ISLANDER,84
Darren,BLACK NON HISPANIC,20
Darwin,HISPANIC,64
Dashiell,WHITE NON HISPANIC,20
David,ASIAN AND PACIFIC ISLANDER,144
David,BLACK NON HISPANIC,194
David,HISPANIC,706
David,WHITE NON HISPANIC,1152
Dayana,HISPANIC,58
Dean,HISPANIC,48
Dean,WHITE NON HISPANIC,84
Declan,WHITE NON HISPANIC,166
Delilah,HISPANIC,170
Delilah,WHITE NON HISPANIC,20
Denis,WHITE NON HISPANIC,20
Dennis,HISPANIC,20
Dennis,WHITE NON HISPANIC,24
Denzel,HISPANIC,28
Dereck,HISPANIC,22
Derek,ASIAN AND PACIFIC ISLANDER,112
Derek,HISPANIC,202
Derek,WHITE NON HISPANIC,28
Derick,HISPANIC,20
Derrick,BLACK NON HISPANIC,20
Desmond,WHITE NON HISPANIC,38
Destiny,BLACK NON HISPANIC,112
Destiny,HISPANIC,90
Devin,ASIAN AND PACIFIC ISLANDER,64
Devin,BLACK NON HISPANIC,44
Devin,HISPANIC,72
Devin,WHITE NON HISPANIC,48
Devora,WHITE NON HISPANIC,88
Devorah,WHITE NON HISPANIC,200
Diana,HISPANIC,128
Diana,WHITE NON HISPANIC,88
Diego,HISPANIC,226
Dilan,HISPANIC,30
Dina,WHITE NON HISPANIC,128
Dominic,BLACK NON HISPANIC,64
Dominic,HISPANIC,134
Dominic,WHITE NON HISPANIC,124
Dominick,BLACK NON HISPANIC,20
Dominick,HISPANIC,66
Dominick,WHITE NON HISPANIC,56
Donovan,BLACK NON HISPANIC,20
Donovan,HISPANIC,20
Doris,ASIAN AND PACIFIC ISLANDER,20
Dov,WHITE NON HISPANIC,130
Dovid,WHITE NON HISPANIC,120
Drew,WHITE NON HISPANIC,24
Dulce,HISPANIC,32
Duvid,WHITE NON HISPANIC,52
Dylan,ASIAN AND PACIFIC ISLANDER,190
Dylan,BLACK NON HISPANIC,198
Dylan,HISPANIC,1124
Dylan,WHITE NON HISPANIC,550
EASON,ASIAN AND PACI,60
EDDY,HISPANIC,24
EDEN,WHITE NON HISP,52
EDGAR,HISPANIC,56
EDISON,ASIAN AND PACI,32
EDUARDO,HISPANIC,80
EDWARD,ASIAN AND PACI,20
EDWARD,HISPANIC,92
EDWARD,WHITE NON HISP,70
EDWIN,HISPANIC,106
EFRAIM,WHITE NON HISP,38
EILEEN,ASIAN AND PACI,30
EILEEN,HISPANIC,22
EITAN,WHITE NON HISP,42
ELAINE,ASIAN AND PACI,42
ELAN,WHITE NON HISP,24
ELEANOR,ASIAN AND PACI,30
ELEANOR,WHITE NON HISP,90
ELENA,ASIAN AND PACI,22
ELENA,HISPANIC,56
ELENA,WHITE NON HISP,40
ELI,ASIAN AND PACI,24
ELI,BLACK NON HISP,68
ELI,HISPANIC,96
ELI,WHITE NON HISP,198
ELIAN,HISPANIC,44
ELIANA,HISPANIC,68
ELIANA,WHITE NON HISP,86
ELIANNY,HISPANIC,20
ELIAS,BLACK NON HISP,20
ELIAS,HISPANIC,148
ELIAS,WHITE NON HISP,68
ELIEZER,WHITE NON HISP,58
ELIJAH,ASIAN AND PACI,38
ELIJAH,BLACK NON HISP,230
ELIJAH,HISPANIC,196
ELIJAH,WHITE NON HISP,58
ELIMELECH,WHITE NON HISP,36
ELINA,ASIAN AND PACI,28
ELISA,HISPANIC,22
ELISE,BLACK NON HISP,20
ELISE,WHITE NON HISP,28
ELISHEVA,WHITE NON HISP,34
ELIYAHU,WHITE NON HISP,58
ELIZA,WHITE NON HISP,36
ELIZABETH,ASIAN AND PACI,62
ELIZABETH,BLACK NON HISP,62
ELIZABETH,HISPANIC,138
ELIZABETH,WHITE NON HISP,232
ELLA,ASIAN AND PACI,104
ELLA,HISPANIC,38
ELLA,WHITE NON HISP,296
ELLE,WHITE NON HISP,40
ELLIANA,WHITE NON HISP,22
ELLIE,ASIAN AND PACI,34
ELLIE,WHITE NON HISP,46
ELLIOT,WHITE NON HISP,58
ELLIOTT,WHITE NON HISP,20
ELLIS,WHITE NON HISP,22
ELOISE,WHITE NON HISP,62
ELSA,WHITE NON HISP,28
ELUZER,WHITE NON HISP,22
ELVIN,HISPANIC,20
ELVIS,ASIAN AND PACI,20
EMANUEL,HISPANIC,62
EMELY,HISPANIC,142
EMERSON,WHITE NON HISP,22
EMILIA,HISPANIC,36
EMILIA,WHITE NON HISP,88
EMILIANO,HISPANIC,20
EMILIO,HISPANIC,50
EMILY,ASIAN AND PACI,220
EMILY,BLACK NON HISP,70
EMILY,HISPANIC,372
EMILY,WHITE NON HISP,274
EMMA,ASIAN AND PACI,194
EMMA,BLACK NON HISP,54
EMMA,HISPANIC,250
EMMA,WHITE NON HISP,456
EMMANUEL,BLACK NON HISP,66
EMMANUEL,HISPANIC,166
EMMETT,WHITE NON HISP,26
ENRIQUE,HISPANIC,22
EPHRAIM,WHITE NON HISP,30
ERIC,ASIAN AND PACI,246
ERIC,BLACK NON HISP,44
ERIC,HISPANIC,68
ERIC,WHITE NON HISP,70
ERICA,ASIAN AND PACI,46
ERICK,HISPANIC,152
ERIK,HISPANIC,44
ERIK,WHITE NON HISP,20
ERIKA,HISPANIC,22
ERIN,ASIAN AND PACI,32
ERIN,BLACK NON HISP,22
ESME,WHITE NON HISP,32
ESMERALDA,HISPANIC,48
ESTEBAN,HISPANIC,34
ESTELLE,WHITE NON HISP,22
ESTER,WHITE NON HISP,22
ESTHER,ASIAN AND PACI,32
ESTHER,HISPANIC,26
ESTHER,WHITE NON HISP,384
ESTY,WHITE NON HISP,24
ETHAN,ASIAN AND PACI,374
ETHAN,BLACK NON HISP,302
ETHAN,HISPANIC,508
ETHAN,WHITE NON HISP,262
ETTY,WHITE NON HISP,38
EVA,ASIAN AND PACI,56
EVA,HISPANIC,84
EVA,WHITE NON HISP,128
EVAN,ASIAN AND PACI,166
EVAN,BLACK NON HISP,42
EVAN,HISPANIC,118
EVAN,WHITE NON HISP,136
EVANGELINE,HISPANIC,20
EVANGELINE,WHITE NON HISP,30
EVE,WHITE NON HISP,26
EVELYN,ASIAN AND PACI,74
EVELYN,HISPANIC,94
EVELYN,WHITE NON HISP,104
EVERETT,WHITE NON HISP,30
EZEKIEL,HISPANIC,20
EZEQUIEL,HISPANIC,36
EZRA,WHITE NON HISP,106
EZRIEL,WHITE NON HISP,20
Eason,ASIAN AND PACIFIC ISLANDER,140
Eddie,ASIAN AND PACIFIC ISLANDER,24
Eddy,HISPANIC,20
Eden,ASIAN AND PACIFIC ISLANDER,54
Eden,BLACK NON HISPANIC,30
Eden,WHITE NON HISPANIC,58
Edgar,HISPANIC,90
Edison,ASIAN AND PACIFIC ISLANDER,28
Edison,HISPANIC,30
Edith,WHITE NON HISPANIC,24
Eduardo,HISPANIC,82
Edward,ASIAN AND PACIFIC ISLANDER,54
Edward,HISPANIC,172
Edward,WHITE NON HISPANIC,146
Edwin,ASIAN AND PACIFIC ISLANDER,48
Edwin,HISPANIC,154
Efraim,WHITE NON HISPANIC,62
Egypt,BLACK NON HISPANIC,48
Eileen,ASIAN AND PACIFIC ISLANDER,72
Eileen,HISPANIC,42
Eitan,WHITE NON HISPANIC,58
Elaine,ASIAN AND PACIFIC ISLANDER,68
Elan,WHITE NON HISPANIC,24
Eleanor,ASIAN AND PACIFIC ISLANDER,24
Eleanor,WHITE NON HISPANIC,222
Elena,ASIAN AND PACIFIC ISLANDER,64
Elena,HISPANIC,108
Elena,WHITE NON HISPANIC,112
Eleni,WHITE NON HISPANIC,20
Eli,ASIAN AND PACIFIC ISLANDER,42
Eli,BLACK NON HISPANIC,92
Eli,HISPANIC,170
Eli,WHITE NON HISPANIC,372
Eliam,HISPANIC,20
Elian,HISPANIC,80
Eliana,ASIAN AND PACIFIC ISLANDER,22
Eliana,BLACK NON HISPANIC,46
Eliana,HISPANIC,162
Eliana,WHITE NON HISPANIC,212
Elias,BLACK NON HISPANIC,30
Elias,HISPANIC,322
Elias,WHITE NON HISPANIC,110
Eliezer,WHITE NON HISPANIC,186
Elijah,ASIAN AND PACIFIC ISLANDER,56
Elijah,BLACK NON HISPANIC,498
Elijah,HISPANIC,448
Elijah,WHITE NON HISPANIC,126
Elimelech,WHITE NON HISPANIC,68
Elina,ASIAN AND PACIFIC ISLANDER,56
Elisa,HISPANIC,50
Elise,ASIAN AND PACIFIC ISLANDER,22
Elise,WHITE NON HISPANIC,26
Elisheva,WHITE NON HISPANIC,58
Eliyahu,WHITE NON HISPANIC,104
Eliza,HISPANIC,42
Eliza,WHITE NON HISPANIC,106
Elizabeth,ASIAN AND PACIFIC ISLANDER,88
Elizabeth,BLACK NON HISPANIC,96
Elizabeth,HISPANIC,202
Elizabeth,WHITE NON HISPANIC,384
Ella,ASIAN AND PACIFIC ISLANDER,142
Ella,BLACK NON HISPANIC,22
Ella,HISPANIC,66
Ella,WHITE NON HISPANIC,478
Elle,WHITE NON HISPANIC,48
Ellie,ASIAN AND PACIFIC ISLANDER,88
Ellie,WHITE NON HISPANIC,102
Elliot,WHITE NON HISPANIC,124
Elliott,WHITE NON HISPANIC,48
Ellis,WHITE NON HISPANIC,24
Eloise,WHITE NON HISPANIC,140
Elsa,ASIAN AND PACIFIC ISLANDER,46
Elsa,WHITE NON HISPANIC,48
Elvis,ASIAN AND PACIFIC ISLANDER,48
Emaan,ASIAN AND PACIFIC ISLANDER,20
Emani,BLACK NON HISPANIC,24
Emanuel,HISPANIC,88
Emely,HISPANIC,214
Emerson,WHITE NON HISPANIC,64
Emilia,HISPANIC,68
Emilia,WHITE NON HISPANIC,184
Emiliano,HISPANIC,22
Emilio,HISPANIC,88
Emily,ASIAN AND PACIFIC ISLANDER,368
Emily,BLACK NON HISPANIC,140
Emily,HISPANIC,708
Emily,WHITE NON HISPANIC,516
Emma,ASIAN AND PACIFIC ISLANDER,350
Emma,BLACK NON HISPANIC,96
Emma,HISPANIC,698
Emma,WHITE NON HISPANIC,866
Emmanuel,ASIAN AND PACIFIC ISLANDER,20
Emmanuel,BLACK NON HISPANIC,158
Emmanuel,HISPANIC,234
Emmanuel,WHITE NON HISPANIC,24
Emmeline,WHITE NON HISPANIC,44
Emmett,WHITE NON HISPANIC,56
Enrique,HISPANIC,36
Enzo,HISPANIC,34
Eric,ASIAN AND PACIFIC ISLANDER,344
Eric,BLACK NON HISPANIC,72
Eric,HISPANIC,132
Eric,WHITE NON HISPANIC,110
Erica,ASIAN AND PACIFIC ISLANDER,24
Erick,HISPANIC,230
Erik,WHITE NON HISPANIC,20
Erika,HISPANIC,48
Erin,ASIAN AND PACIFIC ISLANDER,54
Erin,WHITE NON HISPANIC,20
Eshaal,ASIAN AND PACIFIC ISLANDER,24
Esme,WHITE NON HISPANIC,28
Esmeralda,HISPANIC,94
Esteban,HISPANIC,26
Ester,WHITE NON HISPANIC,40
Esther,ASIAN AND PACIFIC ISLANDER,24
Esther,BLACK NON HISPANIC,20
Esther,HISPANIC,82
Esther,WHITE NON HISPANIC,894
Esty,WHITE NON HISPANIC,102
Ethan,ASIAN AND PACIFIC ISLANDER,688
Ethan,BLACK NON HISPANIC,568
Ethan,HISPANIC,1028
Ethan,WHITE NON HISPANIC,548
Etty,WHITE NON HISPANIC,76
Eunice,ASIAN AND PACIFIC ISLANDER,20
Eva,ASIAN AND PACIFIC ISLANDER,112
Eva,BLACK NON HISPANIC,58
Eva,HISPANIC,146
Eva,WHITE NON HISPANIC,262
Evan,ASIAN AND PACIFIC ISLANDER,276
Evan,BLACK NON HISPANIC,42
Evan,HISPANIC,220
