Child's First Name,Ethnicity,Summation of Counts
ANDERSON,WHITE NON HISP,22
ANDRE,BLACK NON HISP,28
ANDRE,HISPANIC,36
ANDREA,HISPANIC,98
ANDRES,HISPANIC,64
ANDREW,ASIAN AND PACI,132
ANDREW,BLACK NON HISP,100
ANDREW,HISPANIC,224
ANDREW,WHITE NON HISP,242
ANDY,ASIAN AND PACI,116
ANDY,HISPANIC,102
ANGEL,ASIAN AND PACI,28
ANGEL,BLACK NON HISP,28
ANGEL,HISPANIC,472
ANGELA,ASIAN AND PACI,104
ANGELA,HISPANIC,52
ANGELICA,HISPANIC,38
ANGELINA,ASIAN AND PACI,34
ANGELINA,BLACK NON HISP,26
ANGELINA,HISPANIC,118
ANGELINA,WHITE NON HISP,96
ANGELIQUE,HISPANIC,52
ANGELO,HISPANIC,28
ANGELO,WHITE NON HISP,38
ANGIE,HISPANIC,40
ANGUS,ASIAN AND PACI,32
ANISHA,ASIAN AND PACI,28
ANIYA,BLACK NON HISP,22
ANIYAH,BLACK NON HISP,60
ANIYAH,HISPANIC,28
ANNA,ASIAN AND PACI,78
ANNA,HISPANIC,20
ANNA,WHITE NON HISP,180
ANNABEL,WHITE NON HISP,22
ANNABELLE,ASIAN AND PACI,24
ANNABELLE,WHITE NON HISP,28
ANNE,WHITE NON HISP,24
ANNIE,ASIAN AND PACI,50
ANSON,ASIAN AND PACI,50
ANTHONY,ASIAN AND PACI,90
ANTHONY,BLACK NON HISP,116
ANTHONY,HISPANIC,388
ANTHONY,WHITE NON HISP,266
ANTONIA,WHITE NON HISP,24
ANTONIO,BLACK NON HISP,22
ANTONIO,HISPANIC,64
ANTONIO,WHITE NON HISP,50
ANYA,ASIAN AND PACI,38
APRIL,HISPANIC,30
ARCHER,WHITE NON HISP,22
ARELY,HISPANIC,24
ARI,WHITE NON HISP,80
ARIA,ASIAN AND PACI,44
ARIA,BLACK NON HISP,38
ARIA,HISPANIC,24
ARIA,WHITE NON HISP,34
ARIANA,ASIAN AND PACI,36
ARIANA,BLACK NON HISP,38
ARIANA,HISPANIC,126
ARIANA,WHITE NON HISP,58
ARIANNA,ASIAN AND PACI,42
ARIANNA,BLACK NON HISP,76
ARIANNA,HISPANIC,154
ARIANNA,WHITE NON HISP,58
ARIEL,ASIAN AND PACI,24
ARIEL,BLACK NON HISP,72
ARIEL,HISPANIC,68
ARIEL,WHITE NON HISP,62
ARIELLA,WHITE NON HISP,56
ARIELLE,BLACK NON HISP,46
ARIELLE,HISPANIC,20
ARIELLE,WHITE NON HISP,32
ARISHA,ASIAN AND PACI,22
ARJUN,ASIAN AND PACI,42
ARMANDO,HISPANIC,20
ARMANI,BLACK NON HISP,20
ARMANI,HISPANIC,34
ARON,WHITE NON HISP,140
ARTHUR,WHITE NON HISP,58
ARYA,ASIAN AND PACI,26
ARYAN,ASIAN AND PACI,28
ARYEH,WHITE NON HISP,54
ASHER,ASIAN AND PACI,24
ASHER,WHITE NON HISP,118
ASHLEY,ASIAN AND PACI,90
ASHLEY,BLACK NON HISP,34
ASHLEY,HISPANIC,318
ASHLEY,WHITE NON HISP,58
ASHTON,BLACK NON HISP,32
ASHTON,HISPANIC,20
ATHENA,ASIAN AND PACI,20
ATHENA,HISPANIC,34
ATHENA,WHITE NON HISP,24
ATTICUS,WHITE NON HISP,20
AUBREE,BLACK NON HISP,28
AUBREY,BLACK NON HISP,54
AUBREY,HISPANIC,52
AUBREY,WHITE NON HISP,20
AUDREY,ASIAN AND PACI,70
AUDREY,WHITE NON HISP,76
AUGUST,WHITE NON HISP,62
AURORA,HISPANIC,22
AUSTIN,ASIAN AND PACI,134
AUSTIN,BLACK NON HISP,54
AUSTIN,HISPANIC,32
AUSTIN,WHITE NON HISP,38
AUTUMN,BLACK NON HISP,58
AVA,ASIAN AND PACI,94
AVA,BLACK NON HISP,96
AVA,HISPANIC,152
AVA,WHITE NON HISP,330
AVERY,ASIAN AND PACI,42
AVERY,BLACK NON HISP,40
AVERY,HISPANIC,58
AVERY,WHITE NON HISP,176
AVIGAIL,WHITE NON HISP,26
AVIVA,WHITE NON HISP,24
AVRAHAM,WHITE NON HISP,90
AVRIL,HISPANIC,22
AVROHOM,WHITE NON HISP,58
AVRUM,WHITE NON HISP,36
AWA,BLACK NON HISP,20
AXEL,HISPANIC,104
AYA,WHITE NON HISP,22
AYAAN,ASIAN AND PACI,82
AYAN,ASIAN AND PACI,24
AYANNA,BLACK NON HISP,26
AYDEN,ASIAN AND PACI,38
AYDEN,BLACK NON HISP,140
AYDEN,HISPANIC,134
AYDEN,WHITE NON HISP,38
AYESHA,ASIAN AND PACI,38
AYLA,WHITE NON HISP,36
AYLIN,HISPANIC,40
Aahil,ASIAN AND PACIFIC ISLANDER,28
Aaliyah,BLACK NON HISPANIC,280
Aaliyah,HISPANIC,222
Aarav,ASIAN AND PACIFIC ISLANDER,34
Aaron,ASIAN AND PACIFIC ISLANDER,258
Aaron,BLACK NON HISPANIC,140
Aaron,HISPANIC,502
Aaron,WHITE NON HISPANIC,342
Aarya,ASIAN AND PACIFIC ISLANDER,20
Aayan,ASIAN AND PACIFIC ISLANDER,46
Abby,ASIAN AND PACIFIC ISLANDER,84
Abdoul,BLACK NON HISPANIC,22
Abdoulaye,BLACK NON HISPANIC,64
Abdul,ASIAN AND PACIFIC ISLANDER,40
Abdullah,ASIAN AND PACIFIC ISLANDER,96
Abdullah,WHITE NON HISPANIC,28
Abel,HISPANIC,88
Abigail,ASIAN AND PACIFIC ISLANDER,130
Abigail,BLACK NON HISPANIC,178
Abigail,HISPANIC,398
Abigail,WHITE NON HISPANIC,440
Abraham,BLACK NON HISPANIC,46
Abraham,HISPANIC,112
Abraham,WHITE NON HISPANIC,626
Abrielle,BLACK NON HISPANIC,22
Abril,HISPANIC,20
Ada,ASIAN AND PACIFIC ISLANDER,20
Ada,WHITE NON HISPANIC,46
Adam,ASIAN AND PACIFIC ISLANDER,142
Adam,BLACK NON HISPANIC,84
Adam,HISPANIC,208
Adam,WHITE NON HISPANIC,684
Adan,HISPANIC,40
Addison,WHITE NON HISPANIC,96
Adelaide,WHITE NON HISPANIC,62
Adele,WHITE NON HISPANIC,90
Adelina,WHITE NON HISPANIC,22
Adeline,WHITE NON HISPANIC,48
Adelyn,HISPANIC,20
Aden,BLACK NON HISPANIC,88
Aden,HISPANIC,22
Adina,WHITE NON HISPANIC,78
Aditya,ASIAN AND PACIFIC ISLANDER,26
Adonis,BLACK NON HISPANIC,44
Adonis,HISPANIC,70
Adrian,ASIAN AND PACIFIC ISLANDER,98
Adrian,BLACK NON HISPANIC,64
Adrian,HISPANIC,550
Adrian,WHITE NON HISPANIC,164
Adriana,HISPANIC,178
Adriana,WHITE NON HISPANIC,86
Adrianna,BLACK NON HISPANIC,46
Adrianna,HISPANIC,68
Adrianna,WHITE NON HISPANIC,42
Adriel,HISPANIC,120
Adyan,ASIAN AND PACIFIC ISLANDER,60
Aharon,WHITE NON HISPANIC,80
